date,close,volume,open,high,low
9/23/15,93.97,21672220,93.4,94.32,92.8
9/22/15,92.96,36834600,93.77,94.68,91.92
9/21/15,95.55,28760280,94.62,96.49,94.52
9/18/15,94.4,62232280,93.2,95.19,93.05
9/17/15,94.34,27716330,93.37,95.51,92.9
9/16/15,93.45,16265640,92.9,93.6,92.63
9/15/15,92.9,18820730,92.37,93.25,91.79
9/14/15,92.31,20108630,92.31,92.62,91.6
9/11/15,92.05,21102320,91.68,92.08,91.13
9/10/15,91.98,26392490,90.07,92.06,89.63
9/9/15,90.44,32482750,90.78,91.98,90.17
9/8/15,89.53,26935820,89.69,90.24,88.83
9/4/15,88.26,27277250,87.2,88.39,86.7
9/3/15,88.15,26954140,89.76,89.82,87.73
9/2/15,89.89,27010970,88.81,89.89,87.63
9/1/15,87.23,35958020,86.85,89.39,86.5
8/31/15,89.43,32771380,90.6,91.05,88.89
8/28/15,91.01,33174580,89.88,91.48,89.792
8/27/15,89.73,42290120,89.1,90.06,87.19
8/26/15,87.19,44994100,85.95,87.46,83.26
8/25/15,83,51860780,86.95,87.67,83
8/24/15,82.09,83487210,77.03,87.14,72
8/21/15,86.06,62473650,87.52,89.18,85.61
8/20/15,90.56,44415420,93.54,94.77,90.46
8/19/15,95.31,23176290,94.63,96.1,94.161
8/18/15,95.17,22222720,94.08,95.85,94.04
8/17/15,93.93,18284030,94.42,94.46,93.39
8/14/15,94.42,15904340,93.54,94.72,93.21
8/13/15,93.43,17398890,94.05,94.73,93.35
8/12/15,94.19,27075100,92.7,94.44,91.19
8/11/15,93.62,22244980,93.73,94.76,92.9006
8/10/15,94.15,21461830,95.68,95.9,93.63
8/7/15,94.3,23141300,95.38,95.4,93.61
8/6/15,95.12,42205860,97.18,98.74,94.42
8/5/15,96.44,29718020,95.25,97.09,95.18
8/4/15,94.06,20050730,93.79,94.73,93.33
8/3/15,94.14,29262980,93.53,95.08,92.8
7/31/15,94.01,46386320,94.95,96.33,93.95
7/30/15,95.21,86021630,94.91,95.81,91.8
7/29/15,96.99,61383310,96.32,97.28,94.74
7/28/15,95.29,34826750,94.84,95.56,93.31
7/27/15,94.17,38428000,96.58,96.61,93.8301
7/24/15,96.95,33351170,97.35,97.76,95.88
7/23/15,95.44,29281230,96.96,97.45,94.81
7/22/15,97.04,28196110,96.74,97.58,95.92
7/21/15,98.39,39163900,98.95,99.24,97.1427
7/20/15,97.91,54786320,95.85,98.6,95.36
7/17/15,94.97,53767930,92.55,95.39,92.54
7/16/15,90.85,21417840,90.28,90.86,89.77
7/15/15,89.76,30818700,90,90.99,89.42
7/14/15,89.68,26568630,90.46,90.8,89.65
7/13/15,90.1,29682360,88.66,90.22,88.42
7/10/15,87.95,23191120,87.35,88.22,86.77
7/9/15,85.88,23237200,86.73,87.6,85.6499
7/8/15,85.65,24351990,86.29,86.75,85.445
7/7/15,87.22,33023960,87.8,87.85,85.231
7/6/15,87.55,24592870,86.49,88.1846,86.39
7/2/15,87.285,16875000,87.4,87.44,86.3401
7/1/15,86.91,25198260,86.77,87.95,86.49
6/30/15,85.765,23195430,86.6,86.7,85.57
6/29/15,85.8,35869530,86.61,87.5,85.73
6/26/15,88.01,38185770,88.12,88.34,86.8283
6/25/15,87.98,27245480,89.26,89.4,87.835
6/24/15,88.86,41337040,87.66,89.25,87.45
6/23/15,87.88,50336830,84.96,87.97,84.76
6/22/15,84.74,29076040,83.41,84.97,83.31
6/19/15,82.51,23337800,82.83,82.98,82.12
6/18/15,82.905,26726860,81.64,83.19,81.57
6/17/15,81.79,18326140,81.76,82.22,81.34
6/16/15,81.06,13673040,80.82,81.51,80.45
6/15/15,80.71,18782870,80.55,80.93,80.07
6/12/15,81.53,11403090,81.37,82.09,81.2
6/11/15,81.83,18619240,82.31,82.9,81.36
6/10/15,82.16,21485920,80.83,82.6,80.81
6/9/15,80.67,16443310,80.6,81.19,79.32
